Observer: Puerto Montt, -41.45438, 287.05317
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
02 May 2026 03:27:27.731    02 May 2026 03:27:52.831      25.100350427    
02 May 2026 05:03:59.714    02 May 2026 05:12:24.858      505.14425546    
02 May 2026 06:45:04.733    02 May 2026 06:53:49.472      524.73862369    
02 May 2026 08:26:44.027    02 May 2026 08:35:25.646      521.61845259    
02 May 2026 10:08:06.024    02 May 2026 10:16:52.272      526.24749953    
02 May 2026 11:50:23.637    02 May 2026 11:56:04.002      340.36530582    
03 May 2026 03:32:47.973    03 May 2026 03:38:40.701      352.72818259    
03 May 2026 05:12:08.722    03 May 2026 05:20:52.867      524.14543672    
03 May 2026 06:53:36.363    03 May 2026 07:02:16.190      519.82610130    
03 May 2026 08:35:10.363    03 May 2026 08:43:57.057      526.69335937    
03 May 2026 10:16:34.649    03 May 2026 10:24:59.288      504.63954743    
04 May 2026 03:40:06.609    04 May 2026 03:47:39.154      452.54530613    
04 May 2026 05:20:29.343    04 May 2026 05:29:17.414      528.07131596    
04 May 2026 07:02:07.734    04 May 2026 07:10:45.504      517.76921432    
04 May 2026 08:43:34.693    04 May 2026 08:52:24.815      530.12137651    
04 May 2026 10:25:12.340    04 May 2026 10:32:47.687      455.34679906    
05 May 2026 03:47:55.301    05 May 2026 03:56:16.680      501.37874738    
05 May 2026 05:28:57.117    05 May 2026 05:37:41.672      524.55536302    
05 May 2026 07:10:36.829    05 May 2026 07:19:16.757      519.92827178    
05 May 2026 08:51:59.049    05 May 2026 09:00:45.035      525.98559220    
05 May 2026 10:34:10.742    05 May 2026 10:40:05.649      354.90664027    
06 May 2026 02:16:50.646    06 May 2026 02:22:26.895      336.24896418    
06 May 2026 03:56:02.244    06 May 2026 04:04:44.894      522.65002577    
06 May 2026 05:37:28.163    06 May 2026 05:46:07.659      519.49591676    
06 May 2026 07:19:03.023    06 May 2026 07:27:47.908      524.88526687    
06 May 2026 09:00:26.623    06 May 2026 09:08:53.261      506.63712103    
06 May 2026 10:44:56.701    06 May 2026 10:45:26.494      29.793531192    
07 May 2026 02:24:03.971    07 May 2026 02:31:28.743      444.77219777    
07 May 2026 04:04:21.359    07 May 2026 04:13:09.196      527.83665871    
07 May 2026 05:45:59.253    07 May 2026 05:54:36.227      516.97380776    
07 May 2026 07:27:27.052    07 May 2026 07:36:15.810      528.75877954    
07 May 2026 09:09:02.511    07 May 2026 09:16:43.677      461.16614866    
08 May 2026 02:31:49.641    08 May 2026 02:40:07.381      497.74019590    
08 May 2026 04:12:48.100    08 May 2026 04:21:32.914      524.81375939    
08 May 2026 05:54:28.226    08 May 2026 06:03:06.883      518.65686761    
08 May 2026 07:35:50.831    08 May 2026 07:44:36.641      525.80997079    
08 May 2026 09:17:57.207    08 May 2026 09:24:05.574      368.36721150    
09 May 2026 01:00:52.701    09 May 2026 01:06:11.289      318.58796217    
09 May 2026 02:39:54.444    09 May 2026 02:48:35.866      521.42210357    
09 May 2026 04:21:18.522    09 May 2026 04:29:58.183      519.66090436    
09 May 2026 06:02:54.295    09 May 2026 06:11:37.731      523.43633808    
09 May 2026 07:44:17.408    09 May 2026 07:52:46.018      508.61039883    
09 May 2026 09:28:01.232    09 May 2026 09:30:08.561      127.32863382    
10 May 2026 01:08:00.217    10 May 2026 01:15:17.035      436.81842315    
10 May 2026 02:48:11.995    10 May 2026 02:56:59.970      527.97480861    
10 May 2026 04:29:49.310    10 May 2026 04:38:26.002      516.69238106    
10 May 2026 06:11:18.056    10 May 2026 06:20:05.735      527.67849629    
10 May 2026 07:52:51.591    10 May 2026 08:00:38.365      466.77392948    
11 May 2026 01:15:42.726    11 May 2026 01:23:56.917      494.19179085    
11 May 2026 02:56:37.649    11 May 2026 03:05:23.179      525.53005095    
11 May 2026 04:38:18.160    11 May 2026 04:46:56.038      517.87819677    
11 May 2026 06:19:41.299    11 May 2026 06:28:27.128      525.82843340    
11 May 2026 08:01:42.883    11 May 2026 08:08:03.906      381.02297889    
11 May 2026 23:44:54.290    11 May 2026 23:49:53.685      299.39488959    
12 May 2026 01:23:45.309    12 May 2026 01:32:25.740      520.43124443    
12 May 2026 03:05:07.403    12 May 2026 03:13:47.748      520.34463444    
12 May 2026 04:46:44.118    12 May 2026 04:55:26.543      522.42547082    
12 May 2026 06:28:06.929    12 May 2026 06:36:37.599      510.66982113    
12 May 2026 08:11:28.763    12 May 2026 08:14:25.251      176.48779216    
12 May 2026 23:51:55.357    12 May 2026 23:59:03.936      428.57952918    
13 May 2026 01:32:01.218    13 May 2026 01:40:49.677      528.45849545    
13 May 2026 03:13:37.844    13 May 2026 03:22:14.799      516.95541901    
13 May 2026 04:55:07.621    13 May 2026 05:03:54.581      526.95947484    
13 May 2026 06:36:39.476    13 May 2026 06:44:31.770      472.29395304    
13 May 2026 23:59:34.527    14 May 2026 00:07:45.183      490.65585178    
