Observer: Puerto Williams, -54.94014, 292.40564
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
02 May 2026 05:09:17.248    02 May 2026 05:12:27.899      190.65093419    
02 May 2026 06:47:48.557    02 May 2026 06:54:22.846      394.28880131    
02 May 2026 08:28:16.520    02 May 2026 08:34:40.819      384.29890440    
02 May 2026 10:11:10.277    02 May 2026 10:12:06.186      55.909715476    
03 May 2026 05:16:20.905    03 May 2026 05:21:25.185      304.28002799    
03 May 2026 06:55:49.026    03 May 2026 07:02:34.525      405.49867752    
03 May 2026 08:36:39.957    03 May 2026 08:42:25.745      345.78819873    
04 May 2026 05:23:55.486    04 May 2026 05:29:56.307      360.82100199    
04 May 2026 07:03:56.523    04 May 2026 07:10:39.372      402.84940854    
04 May 2026 08:45:17.593    04 May 2026 08:49:51.877      274.28443751    
05 May 2026 03:53:24.204    05 May 2026 03:56:12.184      167.98051866    
05 May 2026 05:31:44.994    05 May 2026 05:38:15.963      390.96901099    
05 May 2026 07:12:10.542    05 May 2026 07:18:36.267      385.72465167    
05 May 2026 08:54:42.266    05 May 2026 08:56:25.158      102.89130157    
06 May 2026 04:00:20.606    06 May 2026 04:05:15.236      294.63059582    
06 May 2026 05:39:44.115    06 May 2026 05:46:27.991      403.87679623    
06 May 2026 07:20:32.496    06 May 2026 07:26:22.238      349.74185644    
07 May 2026 04:07:52.405    07 May 2026 04:13:47.788      355.38252722    
07 May 2026 05:47:50.433    07 May 2026 05:54:33.202      402.76983777    
07 May 2026 07:29:07.648    07 May 2026 07:33:50.574      282.92576813    
08 May 2026 02:37:31.672    08 May 2026 02:39:53.617      141.94493612    
08 May 2026 04:15:40.113    08 May 2026 04:22:08.052      387.93824608    
08 May 2026 05:56:03.263    08 May 2026 06:02:30.661      387.39781575    
08 May 2026 07:38:20.929    08 May 2026 07:40:35.102      134.17366088    
09 May 2026 02:44:19.157    09 May 2026 02:49:04.079      284.92150482    
09 May 2026 04:23:37.854    09 May 2026 04:30:20.440      402.58567437    
09 May 2026 06:04:23.757    09 May 2026 06:10:17.635      353.87770864    
10 May 2026 02:51:48.021    10 May 2026 02:57:38.200      350.17818825    
10 May 2026 04:31:42.980    10 May 2026 04:38:26.014      403.03335381    
10 May 2026 06:12:56.547    10 May 2026 06:17:48.045      291.49779623    
11 May 2026 01:21:40.847    11 May 2026 01:23:30.953      110.10595484    
11 May 2026 02:59:33.871    11 May 2026 03:05:59.109      385.23828210    
11 May 2026 04:39:54.619    11 May 2026 04:46:24.018      389.39882959    
11 May 2026 06:22:01.342    11 May 2026 06:24:40.905      159.56335701    
12 May 2026 01:28:16.549    12 May 2026 01:32:51.671      275.12211527    
12 May 2026 03:07:30.199    12 May 2026 03:14:11.865      401.66619730    
12 May 2026 04:48:13.675    12 May 2026 04:54:11.957      358.28164082    
13 May 2026 01:35:42.290    13 May 2026 01:41:27.493      345.20298138    
