date,distance(A-B),distance(A-C),distance(A-D),distance(B-C),distance(B-D),distance(C-D),beta_angle_sun,derived_beta_angle_sun,sma,inc,ecc,raan,aop,lv
2025-06-01 00:00:00+00:00,1000.7220485027864,0,0,0,0,0,59.10498577524074,59.24307031951423,6978276.999499996,97.7532,7.165046334023377e-11,167.272,2.0106368119324013e-06,-2.0106368115891585e-06
2025-06-02 00:00:00+00:00,999.7479351138956,0,0,0,0,0,58.987652869952896,59.124329174720216,6978275.656424679,97.75320176582774,7.194361619965455e-05,168.25121598919253,-181.51760194045292,136.23861630725634
2025-06-03 00:00:00+00:00,998.585485326155,0,0,0,0,0,58.87670092144377,59.01198637804756,6978274.335363782,97.75320356641676,0.00014382878939660104,169.23043278749947,-183.16846764968867,92.61202711559426
2025-06-04 00:00:00+00:00,999.7031317424072,0,0,0,0,0,58.772157222988604,58.90606960332746,6978273.043141138,97.75320538188492,0.00021559530132340108,170.20965036735137,-184.8202575794549,48.987863984594874
2025-06-05 00:00:00+00:00,1001.0630845385989,0,0,0,0,0,58.67404724268862,58.80660471873064,6978271.76917603,97.75320722628176,0.0002871810363546364,171.18886868858422,173.52757060225835,5.365555972926946
2025-06-06 00:00:00+00:00,1000.1136135115646,0,0,0,0,0,58.58239468104404,58.71361579432051,6978270.48801095,97.75320909297687,0.0003585310003185415,172.16808773357803,171.8756586212334,-38.25554509013006
2025-06-07 00:00:00+00:00,998.7576313839038,0,0,0,0,0,58.4972214654236,58.62712514011476,6978269.226999764,97.75321098322387,0.0004295851284146622,173.14730747556862,170.22401747854664,-81.87545177371413
2025-06-08 00:00:00+00:00,999.4362729399518,0,0,0,0,0,58.41854780045975,58.54715332809031,6978267.971808263,97.75321288412799,0.0005002843558745182,174.1265278866953,168.57256159757927,-125.49410163076813
2025-06-09 00:00:00+00:00,1000.3238990459984,0,0,0,0,0,58.34639216097715,58.473719222739334,6978266.731182048,97.75321481396053,0.0005705701698507823,175.1057489329622,166.9209929988551,-169.1111998926398
2025-06-10 00:00:00+00:00,999.3098672151573,0,0,0,0,0,58.2807713897439,58.40684005025959,6978265.510312794,97.75321676303756,0.0006403845334327932,176.0849705897434,-194.73059670588592,147.2731315508529
2025-06-11 00:00:00+00:00,998.5289936692639,0,0,0,0,0,58.22170070790383,58.34653141604561,6978264.273030531,97.75321872417935,0.0007096714926911374,177.06419284128287,-196.3819708329001,103.65866427404477
2025-06-12 00:00:00+00:00,1000.1293738294631,0,0,0,0,0,58.16919372745121,58.292807350079535,6978263.044891756,97.7532207098624,0.0007783683313549348,178.04341565904596,-198.03354447733645,60.04580963880311
2025-06-13 00:00:00+00:00,1001.6999512587877,0,0,0,0,0,58.123262486599366,58.245680296267935,6978261.822128678,97.75322270711006,0.00084642250348428,179.02263902053016,160.31513476472043,16.434113997481962
